id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p10_7,p10_8,p10_9,p10_10,p10_11,p10_12,p11,p12,p13,p14,p15_1,p15_2,p15_3,p15_4,p15_5,p15_6,p15_7,p15_8,p15_9,p15_10,p15_11,p15_12,p16,p17_1,p17_2,p17_3,p17_4,p17_5,p17_6,p17_7,p17_8,p17_9,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p19_1,p19_2,p19_3,p19_4,p19_5,p19_6,p20_1,p20_2,p20_3,p20_4,p20_5,p20_6,p20_7,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p21_7,p22_1,p22_2,p22_3,p22_4,p22_5,p22_6,p22_7,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_1,p24_2,p24_3,p25,gen_r,gen_sex,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
1,Mujer,45,45-54,500.000+,Sevilla,Andalucía,"Sí, con uno/a de 13 a 17 años","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",B,Ahorro/se ahorra un poco de dinero cada mes,8,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,0 No le votaría nunca,0 No le votaría nunca,2,7,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),0 Extrema izquierda,Mucho,Mucho,Mucho,Bastante,Nada,Nada,Bastante,Diversidad cultural,,,,,,,Desempleo,,,,,20,Se ha mantenido más o menos igual,Son demasiadas pocas,Poca,,,,,,Redes sociales,,,,,,,Bastante,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,No lo sé,Muy de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No,No,No,No,No,No,No,,,,,,,,Me gustaría,Me gustaría,"Ni me gustaría, ni me disgustaría",Me gustaría,Me gustaría mucho,Me gustaría,"Ni me gustaría, ni me disgustaría","Ni bien, ni mal","Ni bien, ni mal",Bien,Bien,"Ni bien, ni mal","Ni bien, ni mal",Bien,Bien,Bien,PSOE,Generacion X,Mujer [Generacion X],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.869657
2,Hombre,72,65+,50.001 - 100.000,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",E1,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,5,8,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),3,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,,,,,,,,,Sobrecarga de servicios y recursos públicos,Criminalidad,,,60,Ha crecido,Son demasiadas,Bastante,Televisión,,,,,,,,,,,,Bastante,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Sí,No,Sí,Sí,Sí,Sí,Sí,Positiva,,Positiva,Positiva,Positiva,Positiva,Positiva,,"Ni me gustaría, ni me disgustaría",,,,,,Bien,Bien,Bien,"Ni bien, ni mal",Bien,Bien,Bien,Bien,Bien,PSOE,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",1.047547
3,Hombre,58,55-64,20.001 - 50.000,Granada,Andalucía,"Sí, con uno/a de 13 a 17 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",Vox,Vox,0 No le votaría nunca,5,10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,Vox,Vox,10 Extrema derecha,Mucho,Mucho,Mucho,Mucho,Mucho,Bastante,Mucho,,,,,,,Inseguridad,,,Criminalidad,,,999,Ha crecido,Son demasiadas,Bastante,Televisión,Radio,,,,,,,,,,,Mucha,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,No debería permitirse,No debería permitirse,No,No,No,No,No,No,No,,,,,,,,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Muy mal,Muy mal,"Ni bien, ni mal",Mal,Mal,Regular,Vox,Generacion X,Hombre [Generacion X],Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.087776
4,Hombre,47,45-54,20.001 - 50.000,Alicante/Alacant,Comunitat Valenciana,"Sí, con uno/a de 9 a 12 años",Tercer Grado (Máster),A2,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",No lo sé,Sumar,6,2,0 No le votaría nunca,7,3,0 No le votaría nunca,Sumar,Sumar,3,Mucho,Bastante,Mucho,Mucho,Nada,Bastante,Poco,,,,Tolerancia,Apertura global,,,,,,,,15,Ha crecido,Son demasiadas pocas,Poca,Televisión,,Periódicos,,,,,,,,,,Bastante,Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,No lo sé,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No,No,Sí,Sí,Sí,Sí,Sí,,,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Muy bien,Muy bien,Muy bien,Ninguno de los anteriores,Generacion X,Hombre [Generacion X],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.791114
5,Mujer,56,55-64,< 10.000,Palencia,Castilla y León,"Sí, con uno/a de 13 a 17 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 No le votaría nunca,10 Le votaría siempre,9,0 No le votaría nunca,0 No le votaría nunca,9,PSOE (Partido Socialista Obrero Español),Se acabó la fiesta (Candidatura de Alvise Pérez),5,Mucho,Bastante,Nada,Bastante,Mucho,Bastante,Mucho,,,,,,Crecimiento demográfico,Inseguridad,,,,,,40,Ha crecido,Son demasiadas,Poca,,,,,,,Canales de difusión en WhatsApp o Telegram,,,,,,Mucha,No lo sé,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Nada de acuerdo,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,No,No,No,No,No,No,Sí,,,,,,,"Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,"Ni bien, ni mal","Ni bien, ni mal",Mal,No lo sé,Mal,"Ni bien, ni mal",No lo sé,Mal,Regular,Vox,Generacion X,Mujer [Generacion X],Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",0.888944
6,Hombre,81,65+,500.000+,Barcelona,Cataluña,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,C,He tenido/se ha tenido que contraer deuda,"10 Con toda seguridad, iría a votar",JxCAT – Junts (Junts per Catalunya – Junts),JxCAT – Junts (Junts per Catalunya – Junts),6,1,0 No le votaría nunca,6,7,0 No le votaría nunca,JxCAT – Junts (Junts per Catalunya – Junts),Junts-UE (Junts i Lliures per Europa),4,Bastante,Bastante,Mucho,Mucho,Bastante,Bastante,Mucho,,,,,Apertura global,,,,Sobrecarga de servicios y recursos públicos,,,,17,Ha crecido,Son las adecuadas,Poca,Televisión,Radio,,,,,,,,,,,Bastante,Poco de acuerdo,Nada de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,No lo sé,Sí,No,Sí,,,,,"Ni positiva, ni negativa",,Positiva,"Ni me gustaría, ni me disgustaría",Me gustaría,Me gustaría,"Ni me gustaría, ni me disgustaría",,Me gustaría,,"Ni bien, ni mal","Ni bien, ni mal",Bien,Mal,"Ni bien, ni mal","Ni bien, ni mal",Bien,Bien,Muy bien,Podemos,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",0.863921
7,Mujer,66,65+,< 10.000,Málaga,Andalucía,No convivo con ningún/a hijo/a,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",E1,He tenido/se ha tenido que echar mano del ahorro,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 No le votaría nunca,10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,No lo sé,No lo sé,PP (Partido Popular),PP (Partido Popular),6,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,,,,,,,,Desempleo,,,Pérdida de identidad cultural,,50,Ha crecido,Son demasiadas,Poca,Televisión,,Periódicos,,,,,,,,,,No lo sé,Muy de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Muy de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,No,No,No,No,,,,,,,,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,No me gustaría nada,"Ni bien, ni mal","Ni bien, ni mal",Bien,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Regular,Regular,Regular,PP,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Menos de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",1.665248
8,Mujer,70,65+,500.000+,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),6,10 Le votaría siempre,6,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PP (Partido Popular),PP (Partido Popular),No lo sé,Bastante,Bastante,Bastante,Mucho,Bastante,Bastante,Mucho,,,,,Apertura global,,,,Sobrecarga de servicios y recursos públicos,,,,999,Ha crecido,No lo sé,Poca,Televisión,,Periódicos,,,,,,,,,,Bastante,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,No lo sé,Nada de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,Sí,Sí,Sí,Sí,,,"Ni positiva, ni negativa",Positiva,"Ni positiva, ni negativa",Positiva,Positiva,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Mal,No lo sé,Mal,Muy bien,Muy bien,Bien,No lo sé,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",1.344004
9,Mujer,38,35-44,500.000+,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,Tercer Grado (Máster),B,Llego/se llega justo a final de mes,9,Otro,Vox,0 No le votaría nunca,2,7,0 No le votaría nunca,0 No le votaría nunca,No lo sé,Otro,Otro,8,Mucho,Mucho,Nada,Nada,Mucho,Poco,Poco,,,,,,,Inseguridad,,,Criminalidad,,,999,Ha crecido,Son demasiadas,Mucha,,,,,,,,,,"Otro, ¿cuál?",,,Ninguna,Poco de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,No,No,Sí,No,Sí,No,Sí,,,"Ni positiva, ni negativa",,Negativa,,"Ni positiva, ni negativa",No me gustaría,No me gustaría,,No me gustaría,,No me gustaría,,"Ni bien, ni mal",Mal,"Ni bien, ni mal",Muy mal,Muy mal,"Ni bien, ni mal",Muy mal,Mal,Mal,Vox,Millennials,Mujer [Millennials],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.751757
10,Mujer,67,65+,10.001 - 20.000,Gipuzkoa,País Vasco,No convivo con ningún/a hijo/a,Tercer Grado (Máster),E1,He tenido/se ha tenido que echar mano del ahorro,"10 Con toda seguridad, iría a votar",EH Bildu (Euskal Herria Bildu),EH Bildu (Euskal Herria Bildu),4,0 No le votaría nunca,0 No le votaría nunca,4,4,0 No le votaría nunca,EH Bildu (Euskal Herria Bildu),"Ahora Repúblicas (ERC, EH Bildu, BNG, Ara Més)",3,Bastante,Bastante,Bastante,Poco,Poco,Poco,Bastante,Diversidad cultural,,,,,,,,,,,,999,Ha crecido,No lo sé,Poca,Televisión,,,,,,,,,,,,No lo sé,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,No lo sé,Bastante de acuerdo,No lo sé,No lo sé,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,No,No,No,Sí,,,,,,,"Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,Bien,Bien,Bien,Bien,Bien,Bien,Bien,Bien,No lo sé,PSOE,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",1.498007
